RZERO,PPM,DATE
1880.28,847.86,2019-03-31 01:34:07
1880.28,847.86,2019-03-31 01:34:08
1880.28,847.86,2019-03-31 01:34:09
1880.28,847.86,2019-03-31 01:34:10
1926.52,847.86,2019-03-31 01:34:11
1880.28,847.86,2019-03-31 01:34:12
1926.52,792.69,2019-03-31 01:34:13
1926.52,847.86,2019-03-31 01:34:14
1926.52,792.69,2019-03-31 01:34:15
1926.52,792.69,2019-03-31 01:34:16
1926.52,792.69,2019-03-31 01:34:17
1926.52,792.69,2019-03-31 01:34:18
1926.52,792.69,2019-03-31 01:34:19
1926.52,792.69,2019-03-31 01:34:20
1926.52,792.69,2019-03-31 01:34:21
1926.52,792.69,2019-03-31 01:34:22
1926.52,792.69,2019-03-31 01:34:23
1926.52,792.69,2019-03-31 01:34:24
1926.52,792.69,2019-03-31 01:34:25
1926.52,792.69,2019-03-31 01:34:26
1926.52,792.69,2019-03-31 01:34:27
1926.52,792.69,2019-03-31 01:34:28
1926.52,792.69,2019-03-31 01:34:29
1926.52,792.69,2019-03-31 01:34:30
1926.52,792.69,2019-03-31 01:34:31
1926.52,792.69,2019-03-31 01:34:32
1926.52,792.69,2019-03-31 01:34:33
1926.52,792.69,2019-03-31 01:34:34
1926.52,792.69,2019-03-31 01:34:35
1926.52,792.69,2019-03-31 01:34:36
1926.52,792.69,2019-03-31 01:34:37
1926.52,792.69,2019-03-31 01:34:38
1975.07,792.69,2019-03-31 01:34:40
1975.07,792.69,2019-03-31 01:34:41
1975.07,792.69,2019-03-31 01:34:42
1975.07,792.69,2019-03-31 01:34:43
1975.07,792.69,2019-03-31 01:34:44
1975.07,792.69,2019-03-31 01:34:45
1926.52,792.69,2019-03-31 01:34:46
1975.07,792.69,2019-03-31 01:34:47
1975.07,792.69,2019-03-31 01:34:48
1975.07,792.69,2019-03-31 01:34:49
1975.07,739.90,2019-03-31 01:34:50
1975.07,792.69,2019-03-31 01:34:51
1975.07,792.69,2019-03-31 01:34:52
1975.07,792.69,2019-03-31 01:34:53
1975.07,792.69,2019-03-31 01:34:54
1975.07,792.69,2019-03-31 01:34:55
1975.07,792.69,2019-03-31 01:34:56
1975.07,739.90,2019-03-31 01:34:57
1975.07,792.69,2019-03-31 01:34:58
1975.07,739.90,2019-03-31 01:34:59
1975.07,739.90,2019-03-31 01:35:00
1975.07,739.90,2019-03-31 01:35:01
1975.07,739.90,2019-03-31 01:35:02
1975.07,739.90,2019-03-31 01:35:03
1975.07,739.90,2019-03-31 01:35:04
1975.07,739.90,2019-03-31 01:35:05
1975.07,739.90,2019-03-31 01:35:06
1975.07,739.90,2019-03-31 01:35:07
1975.07,739.90,2019-03-31 01:35:08
